Title,STATUS,Coupa Req,PO ID,Cost Total,Coupa Status,Submitted by,GCU Contact,Date Submitted,Business Need,Approval,Licensing Requirements,Licensing Requirements Explain,URL Product,Notes,Product Logo,Primary Approver,Point of Contact,Name of Primary Contact,SME,M365 Replace,Description,Primary IT Contact,Support Department Manager,Who uses this application?,App Status,Purpose,Origin,AppOwnerOrganization,App USE Org,App Owner Department,Name of Software Company,Departments Use the App,Cost Requirements,Cost Requirements Explain,Security Approval,Date of Security Review,URL to Governance System,Business Engagement QA,Business Engagement Notes,Business Engagement Approval,Who Uses,Dept Use-Which Dept,Software Version Initial,Software Version - Today,Support Department,Primary Business Administrator,Date of Launch,Date of Renewal,Department Renewal,Support Details,3rd Party Patching Requirements,3rd Party Vendor Website,Renewal Date,Item Type,Path
1.0 Movavi Video Converter,Sam Done,179203,172053,49.95,Ordered,Carrie Walsh (GCE),,1/6/20,,Pending Approval,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Movavi Video Converter.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists",,Carrie Walsh (GCE);#29,,,,,,,,Existing,Educational Services,Open Use,Orbis,Orbis,,Movavi,,Unknown,,Yes,,,,,,,,,,,,11/15/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
1.0 Remote Syslog Forwarding,Sam Done,186330,179435,2394.63,Ordered,Mike Manrod (GCE),,6/22/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Enterprise Solutions Logo 2.jfif"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets",,Mike Manrod (GCE);#30,,,,,,,,Existing,IT Security,Open Use,GCE,GCE,,Enterprise Networks Solutions Inc,,Unknown,,Yes,,,,,,,,,,,,6/22/20,6/22/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
8/26/2021,Imported,,,,,,,8/26/21,"This software is used for development for some simulations or simple games for students and is used for research purposes.
",Denied,Unknown,,,"47380
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
A Test for Elizabeth,,,,,,Elizabeth Fair (GCE),kyle traber,5/25/22,To create a Software inventory list so that we can live happily ever after,Approved,Yes,Microsoft 365 Licensing A3,,,"{""type"":""thumbnail"",""fileName"":""atomm.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-41",Stephen Gee (GCE),Jordan Mastel (GCE);#13,Elizabeth Fair (GCE),Elizabeth Fair (GCE),,Important description,,,Me,New,To see all the columns in this List!,Internal System,GCE,GCU;#GCE;#Orbis,Managed Services,Everythingforyou,IT/Development/Security,Yes,Licensing is already present for Staff,Yes,,,,Good to go,Yes,Global,Everyone!,17.3,17.3,,,5/25/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Ableton Live 9 Lite,Sam Done,,,,,,,5/5/18,"Software used to write, listen, and record music for music production.",Approved,No,,https://www.ableton.com/en/products/live-lite/,783791 - Music,"{""type"":""thumbnail"",""fileName"":""Ableton Live 9 Lite.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/29",,,,,,,,,,Existing,,Open Use,GCE,,,Ableton,,Unknown,,,,,,,,,,,,,,5/5/18,5/5/18,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Academic Support,Sam Done,187260,#179546,4000,Ordered,,Mark Wilty,7/6/21,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Retain inc.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c9",,,,,,Mark Wilty,,,,Existing,E-Learning Services,Open Use,GCU,GCU,,"Retain Technologies, Inc",,Unknown,,Yes,,,,,,,,,,,,6/19/20,6/19/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Access Badges,Sam Done,196825,#187373,5980,Ordered,,Tira Montgomery,1/11/21,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Transact.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933",,,,,,"Ha Cao,#Ha Cao",,,,Existing,Campus Technology for Building Access,Open Use,GCU,GCU,,Transact Campus Inc,,Unknown,,Yes,,,,,,,,,,,,1/11/21,1/11/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Accordance,Sam Done,,,,,,,7/19/17,Bible App,Approved,No,,,Approved Request %23659333,"{""type"":""thumbnail"",""fileName"":""Accordance.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c9",,,,,,,,,,Existing,,Open Use,GCE,,,OakTree,,Unknown,,,,,,,,,,,,,,7/19/17,7/19/17,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Accurip Black Pearl,Sam Done,,,,,,,6/9/17,"Used for Epson 4900 printer, for screen printing.",Approved,Yes,,https://softwareforscreenprinters.com/products/accuripblackpearl/,642740 - Print Shop,"{""type"":""thumbnail"",""fileName"":""AccuRip.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-",,,,,,,,,,Existing,,Open Use,GCE,,,AccuRIP,,Unknown,,,,,,,,,,,,,,6/9/17,6/9/17,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
ACD ChemSketch,Sam Done,,,,,,,11/12/19,Used to present chemical structures in class.,Approved,Unknown,,,Request 1025217,"{""type"":""thumbnail"",""fileName"":""ACD Chem Sketch.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e9",,,,,,,,,,Existing,,Open Use,GCE,,,ACD Labs,,Unknown,,,,,,,,,,,,,,11/12/19,11/12/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Acrobat Professional,Sam Done,190378,#182294,41.1,Ordered,,Chris Sweets,8/28/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Adobe Acrobat.jfif"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,"Mari Mondragon,#Mari Mondragon",,,,Existing,Adobe Products,Open Use,GCU,GCU,,Software One Inc,,Unknown,,Yes,,,,,,,,,,,,8/28/20,8/28/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Active Client,Sam Done,,,,,,,12/14/16,Active client is an install needed for the ROTC department as that install allows them to be able to access their Military Outlook emails.,Approved,Unknown,,,Request 568176: Here is a link to register for Army Knowledge Online if needed.  https://army-esd.army.mil/app/answers/detail/a_id/77,"{""type"":""thumbnail"",""fileName"":""MilCACLogo.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c9",,,,,,,,,,Existing,,Open Use,GCE,,,Military CAC,,Unknown,,,,,,,,,,,,,,12/14/16,12/14/16,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Active Directory,Sam Done,,,,,,,1/2/20,Account management,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Active Directory.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Active Tables for Adobe InDesign,Imported,,,,,,,4/27/21,"This is a plugin for Adobe InDesign which allows for higher-functioning tables which we would use all the time in the data-driven publications we produce including media guides and game notes.
",Approved,Yes,Cost Associated,,"1302944
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/28/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Activity Vue,Sam Done,,,,,,,1/1/20,Application that allows counselors to track the progress of a student’s actions in LoudCloud,Approved,Unknown,,,,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
ACTRA,Sam Done,190073,#182085,300,Ordered,Vanessa Sanchez (GCE),,8/26/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""ACTRA.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-41",,Mike Manrod (GCE);#30,,,,,,,,Existing,IT Security,Open Use,GCE,GCE,,Arizona Cyber Threat Response Alliance Inc,,Unknown,,Yes,,,,,,,,,,,,8/26/20,8/26/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Acuity Scheduling,Imported,,,,,,,9/30/21,"Track use of practice room and dedicated classroom space (35-157, 57-433, 57-435). Require students to self-schedule rather than department personnel tracking scheduling. Create a tracking device for any contact tracing or missing equipment needed.
",Approved,Unknown,,,68548 - Users should use Microsoft Bookings. 2021 is the last year this software is approved.,,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/28/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Adobe Acrobat (cost associated),Sam Done,,,,,,,8/6/19,"Program that allows for reading and printing PDF files.
",Restricted Approval,Yes,Cost Associated,https://get.adobe.com/reader/,"464490, 480893 -
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/28/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Adobe Acrobat Connect Pro,Sam Done,,,,,,,9/12/17,"Web conferencing software service offers immersive online meeting experiences for collaboration, virtual classrooms and large scale webinars.",Approved,Unknown,Trial Version,https://www.adobe.com/products/adobeconnect/trial.html,685829 - Faculty Specialist,"{""type"":""thumbnail"",""fileName"":""adobe connect pro.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909",,,,,,,,,,Existing,,Open Use,GCE,,,Software One Inc,,Unknown,,,,,,,,,,,,,,9/12/17,9/12/17,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Adobe Acrobat Pro,Sam Done,196424,"#187070, #187071",840.92,Ordered,Christopher Sweets (Orbis),,12/30/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Adobe Acrobat Pro.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909",,Christopher Sweets (Orbis);#31,,,,,,,,Existing,Adobe Products,Open Use,Orbis,Orbis,,Software One Inc,,Unknown,,Yes,,,,,,,,,,,,12/30/20,12/30/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Adobe Acrobat Reader,Sam Done,,,,,,,4/29/22,"This software is used for viewing PDF documents. 
",Approved,Unknown,,,"182978
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/28/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Adobe Creative Cloud,Sam Done,195926,#186543,236.41,Ordered,Amanda Bartels (GCE),,12/14/20,,Restricted Approval,Unknown,Cost Associated,http://www.adobe.com/creativecloud.html,484189 -,"{""type"":""thumbnail"",""fileName"":""Adobe Creative Cloud.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2",,Amanda Bartels (GCE);#32,,,,,,,,Existing,FT&D supplies for tech team,Open Use,GCU,GCU,,Software One Inc,,Unknown,,Yes,,,,,,,,,,,,12/15/20,12/15/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Adobe Digital Editions,Sam Done,,,,,,,8/6/19,"Program used to manage, edit and read e-books.",Approved,No,,http://www.adobe.com/solutions/ebook/digital-editions.html,485344 -,"{""type"":""thumbnail"",""fileName"":""Adobe Digital Editions.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists",,,,,,,,,,Existing,,Open Use,GCE,,,Software One Inc,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Adobe Flash,Sam Done,,,,,,,8/6/19,Software that plays video and audio.,Approved,No,,https://get.adobe.com/flashplayer/otherversions/,,"{""type"":""thumbnail"",""fileName"":""Adobe Flash.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c",,,,,,,,,,Existing,,Open Use,GCE,,,Software One Inc,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Adobe LiveCycle,Sam Done,,,,,,,4/30/19,Adobe,Approved,Yes,Yes,,Request 938985,"{""type"":""thumbnail"",""fileName"":""adobe live cycle.jfif"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909",,,,,,,,,,Existing,,Open Use,GCE,,,Software One Inc,,Unknown,,,,,,,,,,,,,,4/30/19,4/30/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Adobe Shockwave,Sam Done,,,,,,,8/6/19,Multimedia playback software.,Approved,No,No,,,"{""type"":""thumbnail"",""fileName"":""Adobe Shockwave.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e9",,,,,,,,,,Existing,,Open Use,GCE,,,Software One Inc,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
