Title,Name of Software Company,,GCU Contact,Date Submitted,Date of Launch,Date of Renewal
1.0 Movavi Video Converter,Movavi,49.95,,1/6/20,11/15/22,
1.0 Remote Syslog Forwarding,Enterprise Networks Solutions Inc,2394.63,,6/22/20,6/22/20,6/22/20
Ableton Live 9 Lite,Ableton,,,5/5/18,5/5/18,5/5/18
Academic Support,"Retain Technologies, Inc",,Mark Wilty,7/6/21,6/19/20,6/19/20
Access Badges,Transact Campus Inc,5980,Tira Montgomery,1/11/21,1/11/21,1/11/21
Accordance,OakTree,,,7/19/17,7/19/17,7/19/17
Accurip Black Pearl,AccuRIP,,,6/9/17,6/9/17,6/9/17
ACD ChemSketch,ACD Labs,,,11/12/19,11/12/19,11/12/19
Acrobat Professional,Software One Inc,41.1,Chris Sweets,8/28/20,8/28/20,8/28/20
Active Client,Military CAC,,,12/14/16,12/14/16,12/14/16
Active Directory,,,,1/2/20,1/1/20,1/1/20
Active Tables for Adobe InDesign,,,,4/27/21,11/28/22,
Activity Vue,,,,1/1/20,1/1/20,1/1/20
ACTRA,Arizona Cyber Threat Response Alliance Inc,300,,8/26/20,8/26/20,8/26/20
Acuity Scheduling,,,,9/30/21,11/28/22,
Adobe Acrobat (cost associated),,,,8/6/19,11/28/22,
Adobe Acrobat Connect Pro,Software One Inc,,,9/12/17,9/12/17,9/12/17
Adobe Acrobat Pro,Software One Inc,840.92,,12/30/20,12/30/20,12/30/20
Adobe Acrobat Reader,,,,4/29/22,11/28/22,
Adobe Creative Cloud,Software One Inc,236.41,,12/14/20,12/15/20,12/15/20
Adobe Digital Editions,Software One Inc,,,8/6/19,8/6/19,8/6/19
Adobe Flash,Software One Inc,,,8/6/19,8/6/19,8/6/19
Adobe LiveCycle,Software One Inc,,,4/30/19,4/30/19,4/30/19
Adobe Shockwave,Software One Inc,,,8/6/19,8/6/19,8/6/19
Adobe Sign,Software One Inc,,,11/5/19,11/5/19,11/5/19
Adobe XD (Plug-ins),,,,3/8/22,11/28/22,
AED Manager 2.1 Software - Powerheart(r) G5,,,,5/31/19,11/28/22,
Aerohive,CD's IT Consulting,34193.88,,1/15/21,1/15/21,1/15/21
Aha!,Aha! Labs Inc,1258.72,Mark Fallows,7/16/20,7/16/20,7/16/20
AirMedia,Creston Electronics Inc,,,8/11/20,8/11/20,8/11/20
A-L Tier II,Paciolan LLC,,Tira Montgomery,9/1/20,9/1/20,9/1/20
Alertus,,,,1/4/20,1/1/20,1/1/20
Alliance Software,Cyrun,15750,Terry Guerrero,10/8/20,10/8/20,10/8/20
