Title,"Cost Total","GCU Contact","Date Submitted","Name of Software Company","Date of Launch","Date of Renewal"
"1.0 Movavi Video Converter",49.95,,1/6/20,Movavi,11/15/22,
"1.0 Remote Syslog Forwarding",2394.63,,6/22/20,"Enterprise Networks Solutions Inc",6/22/20,6/22/20
8/26/2021,,,8/26/21,,11/30/22,
"A Test for Elizabeth",,"kyle traber",5/25/22,Everythingforyou,5/25/22,
"Ableton Live 9 Lite",,,5/5/18,Ableton,5/5/18,5/5/18
"Academic Support",4000,"Mark Wilty",7/6/21,"Retain Technologies, Inc",6/19/20,6/19/20
"Access Badges",5980,"Tira Montgomery",1/11/21,"Transact Campus Inc",1/11/21,1/11/21
Accordance,,,7/19/17,OakTree,7/19/17,7/19/17
"Accurip Black Pearl",,,6/9/17,AccuRIP,6/9/17,6/9/17
"ACD ChemSketch",,,11/12/19,"ACD Labs",11/12/19,11/12/19
"Acrobat Professional",41.1,"Chris Sweets",8/28/20,"Software One Inc",8/28/20,8/28/20
"Active Client",,,12/14/16,"Military CAC",12/14/16,12/14/16
"Active Directory",,,1/2/20,,1/1/20,1/1/20
"Active Tables for Adobe InDesign",,,4/27/21,,11/28/22,
"Activity Vue",,,1/1/20,,1/1/20,1/1/20
ACTRA,300,,8/26/20,"Arizona Cyber Threat Response Alliance Inc",8/26/20,8/26/20
"Acuity Scheduling",,,9/30/21,,11/28/22,
"Adobe Acrobat (cost associated)",,,8/6/19,,11/28/22,
"Adobe Acrobat Connect Pro",,,9/12/17,"Software One Inc",9/12/17,9/12/17
"Adobe Acrobat Pro",840.92,,12/30/20,"Software One Inc",12/30/20,12/30/20
"Adobe Acrobat Reader",,,4/29/22,,11/28/22,
"Adobe Creative Cloud",236.41,,12/14/20,"Software One Inc",12/15/20,12/15/20
"Adobe Digital Editions",,,8/6/19,"Software One Inc",8/6/19,8/6/19
"Adobe Flash",,,8/6/19,"Software One Inc",8/6/19,8/6/19
"Adobe LiveCycle",,,4/30/19,"Software One Inc",4/30/19,4/30/19
